MOL,Id,nvx,nrings,ncirc,nelem,fw,x0,x1,x2,x3p,x4p,x5p,x6p,x7p,x8p, x9p,x10p,x0v,x1v,x2v,x3pv,x4pv,x5pv,x6pv,x7pv,x8pv,x9pv,x10pv,x3c,x4c,x4pc, x3ch,x4ch,x5ch,x6ch,x7ch,x8ch,x9ch,x10ch,x3cv,x4cv,x4pcv,x3chv,x4chv,x5chv, x6chv,x7chv,x8chv,x9chv,x10chv,dx0,dx1,dx2,dx3p,dx4p,dx5p,dx6p,dx7p,dx8p,dx9p, dx10p,dx0v,dx1v,dx2v,dx3pv,dx4pv,dx5pv,dx6pv,dx7pv,dx8pv,dx9pv,dx10pv,k0,k1, k2,k3,ka3,ka4,shind,totop,sumI,sumde1I,tets2,phia,ntype66,e1,e2,e3,e4,e5,e6, e7,e8,e9,e10,e11,e12,e13,e14, e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33, e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52, e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71, e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90, e91,e92,e93,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18, c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37, c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56, c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75, c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93, idW,idW2,idC,idC2, W,Wp,Pf,Wt,knotp,knotpv,nclasss,numhbd,numbba,nx1p,nx2p,nx3p,nx4p,nx5p,nx6p, nx7p,nx8p,nx9p,nx10p,nx3c,nx4c,nx4pc,nx3ch,nx4ch,nx5ch,nx6ch,nx7ch,nx8ch, nx9ch,nx10ch,ntpath,tg,tg3,tm,tm3,diam,muldiam,rad,mulrad,ishape,na1, na2,na3,na4,na5,na6,na7,na8,na9,na10,na11,na12,na13,na14,na15,na16,na17,na18, na19,na20,na21,na22,na23,na24,na25,na26,na27,na28,na29,na30,na31,na32,na33, na34,na35, na36,na37,na38,na39,na40,na41,na42,na43,na44,na45,na46,na47,na48,na49,na50, na51,na52,na53,na54,na55,na56,na57,na58,na59,na60,na61,na62,na63,na64,na65, na66,na67,na68,na69,na70,na71,na72,nd1,nd2,nd3,nd4,nd5,nd6,nt11,nt12,nt13, nt14,nt15,nt16,nt22,nt23,nt24,nt25,nt26,nt33,nt34,nt35,nt36,nt44,nt45,nt46, nt55,nt56,nt66,n2p11,n2p12,n2p13,n2p14,n2p15,n2p16,n2p22,n2p23,n2p24,n2p25, n2p26,n2p33,n2p34,n2p35,n2p36,n2p44,n2p45,n2p46,n2p55,n2p56,n2p66,n3p11,n3p12, n3p13,n3p14,n3p15,n3p16,n3p22,n3p23,n3p24,n3p25,n3p26,n3p33,n3p34,n3p35,n3p36, n3p44,n3p45,n3p46,n3p55,n3p56,n3p66,n4p11,n4p12,n4p13,n4p14,n4p15,n4p16,n4p22, n4p23,n4p24,n4p25,n4p26,n4p33,n4p34,n4p35,n4p36,n4p44,n4p45,n4p46,n4p55,n4p56, n4p66
1,1,4,0,0,3,59.111,3.5774,1.7321,1.7321,0,0,0,0,0,0,0,0,3.1547,1.488,1.244,0,0,0,0,0,0,0,0,0.5774,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1631,-0.1822,0.7321,-0.5,0,0,0,0,0,0,0,-0.183,-0.3244,0.3497,0,0,0,0,0,0,0,0,1.8062,4,1.3333,0,3.96,1.2978,0,0.4515,10.23852,9.33333,1.44444,1.18014,1.2849,0,0,0,1.2833,0,0,0.4167,0,1.2833,5.1111,0.0333,0.3333,9.3333,0,0,0,0,0,0,0,3.8889,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,5.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.529,2.503,6,1,9,0,6,9,0,0,2,2,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,0,2,0,2,3,1,1,1,9,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,0,0,3,60.096,3.5774,1.7321,1.7321,0,0,0,0,0,0,0,0,3.0246,1.4129,1.0937,0,0,0,0,0,0,0,0,0.5774,0,0,0,0,0,0,0,0,0,0,0.2582,0,0,0,0,0,0,0,0,0,0,0.1631,-0.1822,0.7321,-0.5,0,0,0,0,0,0,0,-0.4226,-0.4153,0.2319,0,0,0,0,0,0,0,0,1.8062,4,1.3333,0,3.96,1.2978,0,0.4515,12.54257,11.33333,2.38889,0.93926,1.2849,2.3667,0,0,0,0,0,-0.1667,0,2.3667,8.0556,-0.1333,-0.1667,11.5,-0.1667,0,0,0,0,0,0,3.4444,0,0,0,0,0,-0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.529,2.503,6,1,9,0,6,9,0,0,2,1,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,0,2,0,2,3,1,1,1,8,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,0,0,3,58.08,3.5774,1.7321,1.7321,0,0,0,0,0,0,0,0,2.9082,1.2041,0.9082,0,0,0,0,0,0,0,0,0.5774,0,0,0,0,0,0,0,0,0,0,0.2041,0,0,0,0,0,0,0,0,0,0,0.1631,-0.1822,0.7321,-0.5,0,0,0,0,0,0,0,-0.539,-0.624,0.0464,0,0,0,0,0,0,0,0,1.8062,4,1.3333,0,3.67,1.0445,0,0.4515,15.04212,12.66667,2.61111,0.9448,0.9584,0,0,0,0,0,0,-1.0167,0,0,9.4444,-0.5083,0.1667,12.6667,0,0,0,0,0,0,0,3.0556,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.529,2.503,6,1,9,0,6,9,0,0,2,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,0,2,0,2,3,1,1,1,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,0,0,3,60.096,3.4142,1.9142,1,0.5,0,0,0,0,0,0,0,2.8614,1.5233,0.7236,0.2236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5858,-0.3048,-0.1382,-0.0811,0,0,0,0,0,0,0,2.4082,4,3,4,3.96,2.96,4.0017,0.6021,12.25427,11,2.05556,1.17835,2.9304,2.2833,0,0,0,0,0,-0.0833,0,2.2833,7.875,-0.1,0.3194,11,0,0,0,0,0,0,0,1.9306,0,1.1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.464,2.446,8.755,1.459,10,1,4,10,0,0,3,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0,3,2,2,2,0.5,8,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,4,0,0,4,61.083,3.4142,1.9142,1,0.5,0,0,0,0,0,0,0,2.4388,1.2245,0.5123,0.1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7643,-0.4427,-0.2439,-0.1067,0,0,0,0,0,0,0,2.4082,4,3,4,3.92,2.92,4.007,0.6021,14.63287,13,2.65278,0.80171,2.8616,2.1583,0,0,0.9917,0,0,-0.45,0,2.1583,7.75,-0.2667,0.0972,13,0,0,0,0,0,0,0,0,0,0.4722,0,0,0,0,0,0,0,0,0,0,0,4.7778,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.464,2.446,8.755,1.459,10,1,4,10,0,0,3,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,3,2,2,2,0.5,7,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,0,0,4,100.04,5.2071,2.5607,2.9142,1.0607,0,0,0,0,0,0,0,2.7882,1.2224,0.7995,0.1608,0,0,0,0,0,0,0,1.5607,0.3536,1.0607,0,0,0,0,0,0,0,0,0.202,0.0226,0.0643,0,0,0,0,0,0,0,0,0.3787,-0.3536,1.2071,0.1036,-0.5,-0.25,0,0,0,0,0,-2.0523,-1.5557,-0.7091,-0.5836,0,0,0,0,0,0,0,4.0668,6,1.6327,5.3333,5.75,1.466,5.1136,0.6778,41.67276,32.75,9.51389,11.81593,1.405,-0.125,0,0,0,0,0,0,-2.0167,0,10.6319,-2.0167,-4.125,38.8819,-6.1319,0,0,0,0,0,0,0,0,-2.0069,0,0,0,0,0,0,0,0,0,-4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1181,0,0,0,31.7639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.341,3.798,22.587,1.506,28,3,14,28,-0.6713907,-0.548107,3,2,4,5,7,3,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,15,4,3,0,0,3,4,2,2,0.5,3,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,3,0,0,3,46.069,2.7071,1.4142,0.7071,0,0,0,0,0,0,0,0,2.1543,1.0233,0.3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3583,-0.1303,-0.059,0,0,0,0,0,0,0,0,1.4314,3,2,0,2.96,1.96,0,0.4771,9.3835,9.5,1.69444,0.66935,1.9339,2.0333,0,0,0,0,0,-0.2333,0,2.0333,7.5694,-0.1333,0.25,9.5,0,0,0,0,0,0,0,1.6806,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.5,2.755,0.918,4,0,2,4,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,2,2,1,1,1,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,13,3,6,3,168.195,8.6734,6.4495,5.6525,5.0912,4.5742,3.8206,2.4138,1.7595,1.2373,0.5708,0.326,7.027,4.3129,3.0944,2.2842,1.6748,1.1443,0.5728,0.3422,0.1933,0.0736,0.0338,0.6055,0,1.7832,0,0,0.0786,0.1667,0,0,0.0393,0,0.2622,0,0.635,0,0,0.0255,0.0556,0,0,0.0057,0,-1.1048,0.0353,1.4705,2.3841,2.8367,2.717,1.7218,1.3328,0.9798,0.4641,0.2727,-3.4044,-2.5157,-1.3471,-0.5827,-0.1589,-0.0154,-0.1505,-0.1008,-0.0716,-0.0795,-0.0502,10.8689,8.32,3.2925,1.3333,6.8669,2.4417,0.9098,0.8361,98.50863,26.16667,3.18611,24.48741,1.2897,0,0,0,0,0,0,0.43,0,0.195,5.6524,-0.1,0.9618,26.1667,0,0,0,0,0,0,0,0,0,0,0,0,16.2054,0,0,0,0,0,4.3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.539,6.112,186.197,2.387,219,30,42,2805,-0.9109212,-0.558064,6,0,1,15,21,30,42,52,50,54,56,36,30,4,0,18,0,0,1,2,0,0,2,0,428,0,0,0,0,6,4,4,5,0.5,8,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0,0,0,3,0,0,0,0,0,0,0,0,0
