MOL,Id,nvx,nrings,ncirc,nelem,fw,x0,x1,x2,x3p,x4p,x5p,x6p,x7p,x8p, x9p,x10p,x0v,x1v,x2v,x3pv,x4pv,x5pv,x6pv,x7pv,x8pv,x9pv,x10pv,x3c,x4c,x4pc, x3ch,x4ch,x5ch,x6ch,x7ch,x8ch,x9ch,x10ch,x3cv,x4cv,x4pcv,x3chv,x4chv,x5chv, x6chv,x7chv,x8chv,x9chv,x10chv,dx0,dx1,dx2,dx3p,dx4p,dx5p,dx6p,dx7p,dx8p,dx9p, dx10p,dx0v,dx1v,dx2v,dx3pv,dx4pv,dx5pv,dx6pv,dx7pv,dx8pv,dx9pv,dx10pv,k0,k1, k2,k3,ka3,ka4,shind,totop,sumI,sumde1I,tets2,phia,ntype66,e1,e2,e3,e4,e5,e6, e7,e8,e9,e10,e11,e12,e13,e14, e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33, e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52, e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71, e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90, e91,e92,e93,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18, c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37, c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56, c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75, c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93, idW,idW2,idC,idC2, W,Wp,Pf,Wt,knotp,knotpv,nclasss,numhbd,numbba,nx1p,nx2p,nx3p,nx4p,nx5p,nx6p, nx7p,nx8p,nx9p,nx10p,nx3c,nx4c,nx4pc,nx3ch,nx4ch,nx5ch,nx6ch,nx7ch,nx8ch, nx9ch,nx10ch,ntpath,tg,tg3,tm,tm3,diam,muldiam,rad,mulrad,ishape,na1, na2,na3,na4,na5,na6,na7,na8,na9,na10,na11,na12,na13,na14,na15,na16,na17,na18, na19,na20,na21,na22,na23,na24,na25,na26,na27,na28,na29,na30,na31,na32,na33, na34,na35, na36,na37,na38,na39,na40,na41,na42,na43,na44,na45,na46,na47,na48,na49,na50, na51,na52,na53,na54,na55,na56,na57,na58,na59,na60,na61,na62,na63,na64,na65, na66,na67,na68,na69,na70,na71,na72,nd1,nd2,nd3,nd4,nd5,nd6,nt11,nt12,nt13, nt14,nt15,nt16,nt22,nt23,nt24,nt25,nt26,nt33,nt34,nt35,nt36,nt44,nt45,nt46, nt55,nt56,nt66,n2p11,n2p12,n2p13,n2p14,n2p15,n2p16,n2p22,n2p23,n2p24,n2p25, n2p26,n2p33,n2p34,n2p35,n2p36,n2p44,n2p45,n2p46,n2p55,n2p56,n2p66,n3p11,n3p12, n3p13,n3p14,n3p15,n3p16,n3p22,n3p23,n3p24,n3p25,n3p26,n3p33,n3p34,n3p35,n3p36, n3p44,n3p45,n3p46,n3p55,n3p56,n3p66,n4p11,n4p12,n4p13,n4p14,n4p15,n4p16,n4p22, n4p23,n4p24,n4p25,n4p26,n4p33,n4p34,n4p35,n4p36,n4p44,n4p45,n4p46,n4p55,n4p56, n4p66
19,19,7,1,1,3,96.104,5.1129,3.3938,2.7432,1.8938,1.3067,0.901,0.2041,0,0,0,0,3.7647,2.0997,1.2956,0.7331,0.4147,0.2344,0.0242,0,0,0,0,0.2887,0,0.4082,0,0,0,0.1021,0,0,0,0,0.063,0,0.0727,0,0,0,0.0321,0,0,0,0,-0.4226,-0.0204,0.6825,0.6867,0.6299,0.5475,0.0273,0,0,0,0,-2.4475,-1.6722,-0.9326,-0.532,-0.2604,-0.0877,-0.0938,0,0,0,0,4.7116,5.1429,2.3438,1.5,4.3126,1.735,0.9996,0.6731,38.73438,19.66667,4.16824,4.69683,1.0689,0,0,0,0,0,0,1.0975,0.2167,0.4475,11.9067,0,-0.1782,19.8449,-0.1782,0,0,0,0,0,0,0,0,0,0,0,7.9382,0,0,0,0,-0.1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.703,4.255,36.978,1.761,42,8,16,131,-0.169102,-0.0532489,4,0,1,7,8,8,8,8,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,41,1,0,0,0,4,2,3,5,0.333,5,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,9,1,1,4,123.111,6.6902,4.3045,3.6421,2.5926,1.8008,1.2504,0.4512,0.2357,0,0,0,4.6505,2.4994,1.5927,0.967,0.5497,0.3124,0.0693,0.0234,0,0,0,0.5,0,1.0404,0,0,0,0.1021,0,0,0,0,0.1118,0,0.19,0,0,0,0.0321,0,0,0,0,-0.2595,-0.1097,0.8743,0.8855,0.7705,0.6469,0.1128,0.0589,-0.0884,0,0,-2.9806,-2.2934,-1.3699,-0.8263,-0.5051,-0.2827,-0.2449,-0.1233,0,0,0,6.782,7.1111,3.2397,2,5.9085,2.3681,1.3331,0.7536,55.50306,27.66667,6.35787,6.13868,1.5547,0,0,0,0,0,0,-0.4125,0,0.1642,10.0065,-0.2833,-0.4167,28.0833,-0.4167,0,0,0,0,0,0,0,0,0,0,0,7.9338,0,0,0,0,0.1366,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4167,0,0,0,20.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.417,5.005,77.395,2.15,88,12,22,239,-0.2928932,-0.1827205,5,0,2,9,11,12,12,12,6,4,0,0,0,2,0,6,0,0,0,1,0,0,0,0,66,2,0,0,0,5,3,3,3,0.667,5,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,2,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,7,1,1,3,93.128,5.1129,3.3938,2.7432,1.8938,1.3067,0.901,0.2041,0,0,0,0,3.9641,2.1994,1.4107,0.7996,0.453,0.2566,0.037,0,0,0,0,0.2887,0,0.4082,0,0,0,0.1021,0,0,0,0,0.0962,0,0.1111,0,0,0,0.0321,0,0,0,0,-0.4226,-0.0204,0.6825,0.6867,0.6299,0.5475,0.0273,0,0,0,0,-1.682,-1.2603,-0.659,-0.3976,-0.2051,-0.0756,-0.1037,0,0,0,0,4.7116,5.1429,2.3438,1.5,4.3418,1.7556,1.0161,0.6731,33.85312,15.66667,1.61935,6.49941,1.0889,0,0,0,0.8167,0,0,3.2958,0,0.8167,5.3578,0,0.8218,15.6667,0,0,0,0,0,0,0,0,0,0,0,0,9.4871,0,0,0,0,0.8218,0,0,0,5.3578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.703,4.255,36.978,1.761,42,8,16,131,-0.169102,-0.081339,4,2,1,7,8,8,8,8,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,41,1,0,0,0,4,2,3,5,0.333,7,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,9,1,1,3,122.123,6.6902,4.3045,3.6421,2.5926,1.8008,1.2504,0.4512,0.2357,0,0,0,4.7422,2.5884,1.6712,1.0207,0.5807,0.3303,0.0796,0.0274,0,0,0,0.5,0,1.0404,0,0,0,0.1021,0,0,0,0,0.129,0,0.2202,0,0,0,0.0321,0,0,0,0,-0.2595,-0.1097,0.8743,0.8855,0.7705,0.6469,0.1128,0.0589,-0.0884,0,0,-2.9792,-2.2687,-1.3371,-0.805,-0.4972,-0.2812,-0.2462,-0.1276,0,0,0,7.3841,7.1111,3.2397,2,5.9774,2.4162,1.3687,0.8205,52.52549,26.33333,6.0875,7.74024,1.6047,1.1417,0,0,0,0,0,0.6758,0,1.1417,10.2009,-0.025,-0.8791,27.2124,-0.8791,0,0,0,0,0,0,0,0,0,0,0,8.2956,0,0,0,-0.8791,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3848,10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.417,5.005,77.395,2.15,88,12,22,239,-0.2928933,-0.2044023,5,1,2,9,11,12,12,12,6,4,0,0,0,2,0,6,0,0,0,1,0,0,0,0,66,2,0,0,0,5,3,3,3,0.667,6,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,2,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,7,1,1,3,94.113,5.1129,3.3938,2.7432,1.8938,1.3067,0.901,0.2041,0,0,0,0,3.834,2.1343,1.3355,0.7562,0.428,0.2421,0.0287,0,0,0,0,0.2887,0,0.4082,0,0,0,0.1021,0,0,0,0,0.0745,0,0.0861,0,0,0,0.0321,0,0,0,0,-0.4226,-0.0204,0.6825,0.6867,0.6299,0.5475,0.0273,0,0,0,0,-2.0901,-1.4774,-0.8101,-0.4724,-0.2366,-0.0835,-0.0995,0,0,0,0,4.7116,5.1429,2.3438,1.5,4.3418,1.7556,1.0161,0.6731,36.34877,17.66667,2.8938,5.38766,1.0889,2,0,0,0,0,0,2.6125,0,2,8.6322,0,0.3218,17.6667,0,0,0,0,0,0,0,0,0,0,0,0,8.7127,0,0,0,0,0.3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.703,4.255,36.978,1.761,42,8,16,131,-0.169102,-0.0630049,4,1,1,7,8,8,8,8,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,41,1,0,0,0,4,2,3,5,0.333,6,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,7,1,1,2,92.14,5.1129,3.3938,2.7432,1.8938,1.3067,0.901,0.2041,0,0,0,0,4.3868,2.4107,1.6547,0.9405,0.5344,0.3036,0.0642,0,0,0,0,0.2887,0,0.4082,0,0,0,0.1021,0,0,0,0,0.1667,0,0.1925,0,0,0,0.0321,0,0,0,0,-0.4226,-0.0204,0.6825,0.6867,0.6299,0.5475,0.0273,0,0,0,0,-1.1488,-1.0035,-0.406,-0.2667,-0.1424,-0.05,-0.0975,0,0,0,0,4.7116,5.1429,2.3438,1.5,4.3808,1.7833,1.0383,0.6731,31.06738,13.66667,0.34491,7.01949,1.116,0,0,0,0,0,0,3.6125,0,0.8375,2.0833,-0.3667,1.3218,13.6667,0,0,0,0,0,0,0,2.0833,0,0,0,0,10.2616,0,0,0,0,1.3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.703,4.255,36.978,1.761,42,8,16,131,-0.169102,-0.1408833,4,0,0,7,8,8,8,8,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,41,1,0,1,0,4,2,3,5,0.333,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,6,1,1,2,78.113,4.2426,3,2.1213,1.5,1.0607,0.75,0,0,0,0,0,3.4641,2,1.1547,0.6667,0.3849,0.2222,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,-0.5858,0.0858,0.4142,0.5429,0.5607,0.5,0,0,0,0,0,-1.3643,-0.9142,-0.5524,-0.2904,-0.1151,-0.0063,0,0,0,0,0,0,4.1667,2.2222,1.3333,3.4116,1.6058,0.8447,0,26.845,12,0,5.89667,0.913,0,0,0,0,0,0,5.4,0,0.9,2,0.9,2,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.117,3.782,22.829,1.522,27,6,12,90,0,0,3,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,3,6,3,6,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,7,1,1,3,98.144,5.1129,3.3938,2.7432,1.8938,1.3067,0.901,0.2041,0,0,0,0,4.4438,2.9112,2.0993,1.4112,0.9461,0.6324,0.0722,0,0,0,0,0.2887,0,0.4082,0,0,0,0.1021,0,0,0,0,0.1021,0,0.1443,0,0,0,0.0884,0,0,0,0,-0.4226,-0.0204,0.6825,0.6867,0.6299,0.5475,0.0273,0,0,0,0,-1.4803,-0.7004,-0.0463,0.1827,0.2815,0.3068,-0.056,0,0,0,0,4.7116,5.1429,2.3438,1.5,4.8199,2.102,1.2981,0.6731,29.58687,16.16667,3.59384,4.06573,1.4473,0,0,0,0,0,0,-0.8442,0,0,10.4631,-0.3083,0.4641,16.1667,0,0,0,0,0,0,0,0,0,5.2395,0,0,0,0,0,0,0.4641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.703,4.255,36.978,1.761,42,8,16,131,-0.169102,-0.0597866,4,0,1,7,8,8,8,8,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,41,1,0,0,0,4,2,3,5,0.333,10,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,6,1,1,2,84.161,4.2426,3,2.1213,1.5,1.0607,0.75,0,0,0,0,0,4.2426,3,2.1213,1.5,1.0607,0.75,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,-0.5858,0.0858,0.4142,0.5429,0.5607,0.5,0,0,0,0,0,-0.5858,0.0858,0.4142,0.5429,0.5607,0.5214,0,0,0,0,0,0,4.1667,2.2222,1.3333,4.1667,2.2222,1.3333,0,17.89667,9,0,4.4225,1.5432,0,0,0,0,0,0,2.4,0,0.4,1.5,0.4,1.5,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.117,3.782,22.829,1.522,27,6,12,90,0,0,3,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,3,6,3,6,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,5,1,1,2,70.134,3.5355,2.5,1.7678,1.25,0.8839,0,0,0,0,0,0,3.5355,2.5,1.7678,1.25,0.8839,0,0,0,0,0,0,0,0,0,0,0,0.1768,0,0,0,0,0,0,0,0,0,0,0.1768,0,0,0,0,0,-0.5858,0.0858,0.4142,0.5429,0.5303,0,0,0,0,0,0,-0.5858,0.0858,0.4142,0.5429,0.5607,0,0,0,0,0,0,0,3.2,1.44,0.64,3.2,1.44,0.64,0,14.63611,7.5,0,3.47708,0.9216,0,0,0,0,0,0,2,0,0.4,1.5,0.4,1.5,7.5,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.603,3.24,10,1,15,5,10,50,0,0,2,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,2,5,2,5,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
